City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,35.62,86,75,29.93,2022-07-20 15:21:28,light snow
1,Rikitea,PF,-23.1203,-134.9692,72.86,77,4,3.0,2022-07-20 15:21:18,light rain
2,Hermanus,ZA,-34.4187,19.2345,56.8,65,3,6.11,2022-07-20 15:21:16,clear sky
3,Kedrovyy,RU,56.1667,91.8167,59.41,95,96,4.9,2022-07-20 15:25:12,overcast clouds
4,Torbay,CA,47.6666,-52.7314,72.37,74,75,23.02,2022-07-20 15:25:12,broken clouds
5,Kodiak,US,57.79,-152.4072,51.31,82,20,4.61,2022-07-20 15:21:23,few clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,77,75,11.5,2022-07-20 15:25:13,broken clouds
7,Avarua,CK,-21.2078,-159.775,73.45,68,75,13.8,2022-07-20 15:25:13,broken clouds
8,Linxia,CN,35.6003,103.2064,64.18,68,64,2.66,2022-07-20 15:25:14,broken clouds
9,Nikolskoye,RU,59.7035,30.7861,73.29,50,97,12.55,2022-07-20 15:25:14,overcast clouds
10,Puerto Escondido,MX,15.85,-97.0667,85.03,74,40,5.75,2022-07-20 15:25:12,scattered clouds
11,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,69,20,17.27,2022-07-20 15:25:14,few clouds
12,Atuona,PF,-9.8,-139.0333,76.59,80,30,14.54,2022-07-20 15:20:17,light rain
13,Port Alfred,ZA,-33.5906,26.891,58.17,94,98,2.86,2022-07-20 15:24:10,overcast clouds
14,Constitucion,CL,-35.3333,-72.4167,55.06,62,26,4.16,2022-07-20 15:24:48,scattered clouds
15,Yershov,RU,51.3513,48.2766,71.19,49,81,8.16,2022-07-20 15:25:15,broken clouds
16,Mataura,NZ,-46.1927,168.8643,40.48,98,15,0.38,2022-07-20 15:21:29,few clouds
17,Busselton,AU,-33.65,115.3333,63.66,83,100,14.25,2022-07-20 15:21:27,light rain
18,Port Lincoln,AU,-34.7333,135.8667,50.83,73,6,12.41,2022-07-20 15:25:16,clear sky
19,Gondanglegi,ID,-7.7479,112.0132,73.18,84,29,11.34,2022-07-20 15:25:16,scattered clouds
20,Souillac,MU,-20.5167,57.5167,71.98,60,40,19.57,2022-07-20 15:25:17,scattered clouds
21,Moose Factory,CA,51.2585,-80.6094,62.6,77,100,11.5,2022-07-20 15:25:17,haze
22,Tiksi,RU,71.6872,128.8694,34.77,97,99,10.45,2022-07-20 15:25:17,overcast clouds
23,Hobart,AU,-42.8794,147.3294,37.06,93,1,6.91,2022-07-20 15:25:18,clear sky
24,Marawi,PH,7.9986,124.2928,70.3,93,87,2.19,2022-07-20 15:25:18,overcast clouds
25,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,9.22,2022-07-20 15:21:18,scattered clouds
26,Magadan,RU,59.5667,150.8,61.54,94,15,3.47,2022-07-20 15:25:19,few clouds
27,Ushuaia,AR,-54.8,-68.3,33.46,93,100,28.77,2022-07-20 15:21:24,drizzle
28,Hilo,US,19.7297,-155.09,71.28,80,75,6.91,2022-07-20 15:25:19,broken clouds
29,Yellowknife,CA,62.456,-114.3525,61.32,72,100,11.5,2022-07-20 15:25:19,overcast clouds
30,Kavieng,PG,-2.5744,150.7967,81.5,78,100,11.03,2022-07-20 15:25:20,overcast clouds
31,Tahmek,MX,20.8833,-89.2667,87.94,48,13,6.44,2022-07-20 15:25:20,few clouds
32,Springbok,ZA,-29.6643,17.8865,57.74,27,0,6.42,2022-07-20 15:21:27,clear sky
33,Dongsheng,CN,39.8161,109.9776,70.59,48,39,7.18,2022-07-20 15:25:21,scattered clouds
34,Makakilo City,US,21.3469,-158.0858,75.52,72,0,12.66,2022-07-20 15:25:21,clear sky
35,Leoben,AT,47.3461,15.1257,83.89,38,5,5.03,2022-07-20 15:25:22,clear sky
36,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.96,59,14,8.37,2022-07-20 15:21:14,few clouds
37,Butaritari,KI,3.0707,172.7902,81.03,80,100,11.07,2022-07-20 15:24:41,light rain
38,Victoria,HK,22.2855,114.1577,88.18,78,6,8.99,2022-07-20 15:24:06,clear sky
39,Koumac,NC,-20.5667,164.2833,73.58,92,100,9.4,2022-07-20 15:25:22,overcast clouds
40,Ayagoz,KZ,47.9714,80.4392,72.61,25,86,1.3,2022-07-20 15:25:23,overcast clouds
41,Kapaa,US,22.0752,-159.319,75.52,88,100,12.66,2022-07-20 15:24:49,moderate rain
42,Mar Del Plata,AR,-38.0023,-57.5575,58.08,79,40,17.27,2022-07-20 15:21:24,scattered clouds
43,Vaini,TO,-21.2,-175.2,73.56,88,75,8.05,2022-07-20 15:24:44,broken clouds
44,Chuy,UY,-33.6971,-53.4616,58.23,78,0,9.93,2022-07-20 15:25:24,clear sky
45,Pa Sang,TH,18.5262,98.9394,81.79,93,100,2.75,2022-07-20 15:25:24,overcast clouds
46,Port Elizabeth,ZA,-33.918,25.5701,59.09,90,100,5.75,2022-07-20 15:25:24,overcast clouds
47,Uthal,PK,25.8072,66.6219,84.88,82,100,16.17,2022-07-20 15:25:25,overcast clouds
